省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,pH类别,溶解氧,溶解氧类别,高锰酸钾,高锰酸钾类别,氨氮,氨氮类别,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
辽宁省,本溪市,浑江,辽河流域,凤鸣电站,2022-06-01 00:00:00,Ⅱ,12.9,7.5633,-,9.894,-,2.706,-,0.025,-,0.0145,2.556,239.84,4.54,,,正常
辽宁省,鞍山市,太子河,辽河流域,刘家台,2022-06-01 00:00:00,Ⅱ,20.52,7.859,-,8.728,-,2.471,-,0.2256,-,0.0775,4.215,491.414,17.092,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2022-06-01 00:00:00,Ⅱ,18.67,8.17,-,6.61,-,1.671,-,0.025,-,0.0236,2.3695,209.49,3.62,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2022-06-01 00:00:00,Ⅲ,19.19,7.69,-,5.92,-,2.267,-,0.0302,-,0.0267,1.636,262.4,9.22,,,正常
辽宁省,本溪市,太子河南支,辽河流域,南太子河入库口,2022-06-01 00:00:00,Ⅰ,19.51,7.51,-,8.626,-,0.62,-,0.025,-,0.005,2.725,98,3.03,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2022-06-01 00:00:00,Ⅱ,17.9204,7.6158,-,8.0386,-,2.874,-,0.0357,-,0.0147,2.397,241.3075,7.0237,,,正常
辽宁省,大连市,碧流河,辽河流域,城子坦,2022-06-01 00:00:00,Ⅱ,22.28765,8.21631,-,7.53347,-,1.69641,-,0.04784,-,0.03075,0.74274,290.3005,5.48102,,,正常
辽宁省,大连市,复州河,辽河流域,复州湾大桥,2022-06-01 00:00:00,Ⅱ,21.4638,8.14532,-,8.27169,-,3.568,-,0.0565,-,0.0621,5.939,483.719,8.97372,,,正常
辽宁省,抚顺市,浑河,辽河流域,大伙房水库,2022-06-01 00:00:00,Ⅰ,15.916,7.774,-,8.834,-,1.747,-,0.025,-,0.0136,2.621,241.045,3.403,0.00987,,正常
辽宁省,朝阳市,大凌河西支,辽河流域,大凌河西支入河口,2022-06-01 00:00:00,Ⅲ,17.37,7.714,-,5.24,-,3.05,-,0.025,-,0.13,15.504,997.38,5.856,,,正常
辽宁省,营口市,大清河,辽河流域,大清河口,2022-06-01 00:00:00,Ⅱ,23.02,8.563,-,13.272,-,3.735,-,0.0664,-,0.0669,3.839,410.23,16.639,,,正常
辽宁省,锦州市,女儿河,辽河流域,女儿河入河口,2022-06-01 00:00:00,Ⅲ,22.25,8.117,-,14.98,-,4.7,-,0.025,-,0.0522,6.85,759.42,16.69,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,孤家子,2022-06-01 00:00:00,Ⅱ,21.79,8.176,-,8.271,-,3.18,-,0.055,-,0.038,4.6,490.675,10.82,,,正常
辽宁省,鞍山市,太子河,辽河流域,小姐庙,2022-06-01 00:00:00,Ⅱ,20.556,7.875,-,8.23,-,2.5075,-,0.208,-,0.044,3.837,540.5,12.5,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,小渔场,2022-06-01 00:00:00,Ⅱ,20.08,8.084,-,7.892,-,1.49,-,0.035,-,0.045,7.838,615.654,11.275,,,正常
辽宁省,锦州市,大凌河,辽河流域,张家堡,2022-06-01 00:00:00,Ⅱ,20.2,8.281,-,8.425,-,2.804,-,0.025,-,0.051,4.675,714.21,26.001,,,正常
辽宁省,抚顺市,浑河,辽河流域,戈布桥,2022-06-01 00:00:00,Ⅲ,19.31,8.94,-,11.28,-,4.6729,-,0.025,-,0.0286,2.2503,343.64,4.67,,,正常
辽宁省,朝阳市,老虎山河,辽河流域,李家湾大桥,2022-06-01 00:00:00,Ⅱ,14.87,7.6251,-,8.0495,-,0.4584,-,0.0334,-,0.0373,2.8979,532.886,8.4536,,,正常
辽宁省,铁岭市,寇河,辽河流域,松树水文站,2022-06-01 00:00:00,Ⅲ,20.48,8.068,-,9.11,-,4.437,-,0.271,-,0.101,3.256,404.76,21.94,,,正常
辽宁省,铁岭市,柴河,辽河流域,柴河水库入库口,2022-06-01 00:00:00,Ⅲ,21.46,8.36,-,13.313,-,5,-,0.025,-,0.078,1.904,376.9,24.2,,,正常
辽宁省,辽阳市,北沙河,辽河流域,河洪桥,2022-06-01 00:00:00,Ⅲ,20.42,7.57712,-,7.058,-,4.155,-,0.7215,-,0.175,3.892,586.1,20.1294,,,正常
辽宁省,铁岭市,清河,辽河流域,清河水库入库口,2022-06-01 00:00:00,Ⅲ,18.43,7.841,-,6.13,-,3.092,-,0.025,-,0.142,1.781,338.41,18.11,,,正常
辽宁省,铁岭市,清河,辽河流域,清辽,2022-06-01 00:00:00,Ⅱ,15.142,8.132,-,10.85,-,2.94,-,0.025,-,0.05,2.421,310.6,13.4,,,正常
辽宁省,丹东市,爱河,辽河流域,爱河大桥,2022-06-01 00:00:00,-3,19.31,7.576,-,8.202,-,1.708,-,,-,0.005,7.79,226.8,7.21,,,维护
辽宁省,鞍山市,海城河,辽河流域,牛庄,2022-06-01 00:00:00,Ⅲ,21.4,7.98743,-,7.371,-,4.981,-,0.1361,-,0.1355,3.325,768.98,42.1159,,,正常
辽宁省,朝阳市,牤牛河,辽河流域,牤牛河大桥,2022-06-01 00:00:00,Ⅱ,16.57,8.003,-,8.716,-,1.31,-,0.025,-,0.0486,8.344,656.769,56.205,,,正常
辽宁省,锦州市,大凌河,辽河流域,王家沟,2022-06-01 00:00:00,Ⅱ,17.37,8.265,-,8.716,-,2.2,-,0.025,-,0.021,4.615,640.01,11.37,,,正常
辽宁省,葫芦岛市,大凌河,辽河流域,王家窝棚,2022-06-01 00:00:00,Ⅲ,17.93,7.461,-,5.42,-,2.8722,-,0.05,-,0.056,4.73,674.3,4.2,,,正常
辽宁省,大连市,登沙河,辽河流域,登化,2022-06-01 00:00:00,Ⅳ,23.3601,7.75313,-,9.57085,-,7.664,-,0.0432,-,0.1673,1.379,611.004,15.5215,,,正常
辽宁省,盘锦市,辽河,辽河流域,盘锦兴安(兴安),2022-06-01 00:00:00,Ⅲ,21.35,8.158,-,6.59,-,5.751,-,0.054,-,0.126,1.758,358.1,104.8,,,正常
辽宁省,沈阳市,浑河,辽河流域,砂山,2022-06-01 00:00:00,Ⅱ,22.37,8.268,-,12.128,-,3.561,-,0.025,-,0.045,3.547,425.052,6.045,,,正常
辽宁省,朝阳市,大凌河,辽河流域,章吉营,2022-06-01 00:00:00,Ⅲ,20.2532,7.8932,-,6.6302,-,3.7944,-,0.153,-,0.168,6.714,820.558,61.1684,,,正常
辽宁省,葫芦岛市,兴城河,辽河流域,红石碑入海前,2022-06-01 00:00:00,劣Ⅴ,23.42,9.151,-,13.174,-,5.72,-,0.065,-,0.077,2.732,751.062,22.455,,,正常
辽宁省,盘锦市,绕阳河,辽河流域,胜利塘,2022-06-01 00:00:00,Ⅳ,22.72,7.971,-,7.841,-,7.542,-,0.115,-,0.12,1.796,1236.93,30.85,,,正常
辽宁省,大连市,英那河,辽河流域,英那河入海口,2022-06-01 00:00:00,Ⅱ,22.13,7.9503,-,9.34099,-,3.47867,-,0.03713,-,0.06167,0.94087,253.7869,20.72731,,,正常
辽宁省,营口市,碧流河,辽河流域,茧场,2022-06-01 00:00:00,Ⅱ,21.9,7.62305,-,8.14066,-,1.54515,-,0.07089,-,0.02709,3.67839,287.4889,36.60086,,,正常
辽宁省,辽阳市,太子河,辽河流域,葠窝坝下,2022-06-01 00:00:00,Ⅱ,21.995,7.963,-,10.84,-,2.02,-,0.077,-,0.028,3.502,352.3,7.8,,,正常
辽宁省,丹东市,蒲石河,辽河流域,蒲石河大桥,2022-06-01 00:00:00,-3,18.955,7.89,-,8.586,-,1.025,-,,-,,2.113,262.5,4.579,,,维护
辽宁省,铁岭市,招苏台河,辽河流域,通江口,2022-06-01 00:00:00,Ⅳ,20.8,7.893,-,6.86,-,7.263,-,0.353,-,0.185,5.537,783.72,51.79,,,正常
辽宁省,沈阳市,辽河,辽河流域,马虎山,2022-06-01 00:00:00,Ⅳ,20.88,8.634,-,9.34,-,7.023,-,0.025,-,0.08538,1.805,378,44.7,,,正常
辽宁省,锦州市,西细河,辽河流域,高台子,2022-06-01 00:00:00,Ⅳ,13.41,7.374,-,4.18,-,3.369,-,0.025,-,0.101,7.051,1104.46,17.232,,,正常
辽宁省,大连市,大沙河,辽河流域,麦家,2022-06-01 00:00:00,Ⅲ,21.2553,7.84468,-,5.53029,-,4.372,-,0.1369,-,0.0812,1.243,371.784,17.3624,,,正常
辽宁省,盘锦市,小柳河,辽河流域,丁家柳河桥,2022-06-01 04:00:00,Ⅳ,21.74,7.786,-,3.094,-,5.41,-,0.309,-,0.152,1.04,397.972,33.34,,,正常
辽宁省,大连市,英那河,辽河流域,万泰,2022-06-01 04:00:00,Ⅰ,20.33,8.05525,-,9.28456,-,1.3098,-,0.03713,-,0.00837,1.99688,119.702,2.13105,,,正常
辽宁省,大连市,复州河,辽河流域,三台子,2022-06-01 04:00:00,Ⅱ,23.00413,8.39987,-,6.10051,-,3.48936,-,0.10486,-,0.07163,4.23008,495.4138,15.35285,,,正常
辽宁省,铁岭市,辽河,辽河流域,三合屯,2022-06-01 04:00:00,Ⅲ,20.281,8.07,-,7.26,-,5.0909,-,0.04,-,0.064,2.459,671.4,45.7,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2022-06-01 04:00:00,Ⅱ,19.2091,7.72763,-,7.978,-,1.529,-,0.2606,-,0.0272,3.372,431.789,8.13732,,,正常
辽宁省,辽阳市,下达河,辽河流域,下达河入汤河水库口,2022-06-01 04:00:00,Ⅱ,17.37,7.8525,-,6.141,-,2.031,-,0.029,-,0.0165,3.338,441.099,8.861,,,正常
辽宁省,铁岭市,柴河,辽河流域,东大桥,2022-06-01 04:00:00,Ⅱ,15.34,7.612,-,7.66,-,3.13,-,0.035,-,0.012,2.738,336.14,31.33,,,正常
辽宁省,沈阳市,浑河,辽河流域,东陵大桥,2022-06-01 04:00:00,Ⅱ,20.01,7.916,-,8.732,-,2.6428,-,0.076,-,0.0746,2.673,458.1,5.7,,,正常
辽宁省,沈阳市,细河,辽河流域,于台,2022-06-01 04:00:00,Ⅲ,18.49,8.088,-,6.486,-,3.845,-,0.114,-,0.115,6.144,673.416,1.576,,,正常
辽宁省,铁岭市,亮子河,辽河流域,亮子河入河口,2022-06-01 04:00:00,劣Ⅴ,20.45,7.58,-,1.7,-,11.24,-,0.9373,-,0.583,4.733,601.248,118.42,,,正常
辽宁省,锦州市,小凌河,辽河流域,何家信子,2022-06-01 04:00:00,Ⅱ,17.21,7.807,-,7.35,-,3.51,-,0.025,-,0.0177,2.184,508.3,3.73,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2022-06-01 04:00:00,Ⅳ,16.41,7.329,-,3.785,-,2.315,-,0.201,-,0.0341,0.989,640.127,1.733,,,正常
辽宁省,本溪市,太子河,辽河流域,兴安,2022-06-01 04:00:00,Ⅱ,15.06,7.812,-,9.383,-,2.044,-,0.025,-,0.0343,,291.9,10.8,,,维护
辽宁省,本溪市,浑江,辽河流域,凤鸣电站,2022-06-01 04:00:00,Ⅱ,12.58,7.3169,-,8.84,-,2.718,-,0.025,-,0.012,2.57,245.5,3.785,,,正常
辽宁省,鞍山市,太子河,辽河流域,刘家台,2022-06-01 04:00:00,Ⅱ,20.43,7.788,-,7.858,-,2.397,-,0.2252,-,0.0756,4.277,488.112,17.797,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2022-06-01 04:00:00,Ⅱ,17.77,8.05,-,6.72,-,1.532,-,0.025,-,0.0239,2.4,211.04,3.78,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2022-06-01 04:00:00,Ⅲ,18.3,7.48,-,5.48,-,2.022,-,0.0356,-,0.0249,1.681,257.73,10.56,,,正常
辽宁省,本溪市,太子河南支,辽河流域,南太子河入库口,2022-06-01 04:00:00,Ⅰ,17.92,7.27,-,7.978,-,0.48,-,0.025,-,0.005,2.676,103,2.83,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2022-06-01 04:00:00,Ⅱ,16.95,7.59,-,8.21,-,2.058,-,0.0415,-,0.0155,2.437,241.03,7.3,,,正常
辽宁省,大连市,碧流河,辽河流域,城子坦,2022-06-01 04:00:00,Ⅱ,21.77854,8.15707,-,7.31603,-,1.4472,-,0.03734,-,0.02969,0.70854,292.5768,7.443,,,正常
辽宁省,大连市,复州河,辽河流域,复州湾大桥,2022-06-01 04:00:00,Ⅱ,21.1995,8.20523,-,8.23288,-,3.43,-,0.0599,-,0.0636,5.931,483.398,10.5285,,,正常
辽宁省,抚顺市,浑河,辽河流域,大伙房水库,2022-06-01 04:00:00,Ⅰ,16.248,7.842,-,8.833,-,1.748,-,0.025,-,0.0156,2.676,240.997,9.047,0.01047,,正常
辽宁省,朝阳市,大凌河西支,辽河流域,大凌河西支入河口,2022-06-01 04:00:00,Ⅲ,15.74,7.704,-,5.67,-,3.4,-,0.031,-,0.129,14.834,1006.45,5.704,,,正常
辽宁省,营口市,大清河,辽河流域,大清河口,2022-06-01 04:00:00,Ⅱ,22.41,8.281,-,10.232,-,3.768,-,0.0927,-,0.0654,3.82,411.72,18.425,,,正常
辽宁省,锦州市,女儿河,辽河流域,女儿河入河口,2022-06-01 04:00:00,Ⅲ,21.77,8.074,-,13.96,-,4.19,-,0.025,-,0.0445,6.62,769.97,16.77,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,孤家子,2022-06-01 04:00:00,Ⅲ,21.19,8.009,-,5.878,-,2.82,-,0.078,-,0.037,5.333,494.364,8.334,,,正常
辽宁省,鞍山市,太子河,辽河流域,小姐庙,2022-06-01 04:00:00,Ⅱ,20.479,7.884,-,8.48,-,2.49,-,0.171,-,0.046,3.78,524.7,17.6,,,正常
辽宁省,葫芦岛市,六股河,辽河流域,小渔场,2022-06-01 04:00:00,Ⅱ,19.71,7.937,-,7.29,-,2.03,-,0.037,-,0.044,6.795,572.579,8.729,,,正常
辽宁省,锦州市,大凌河,辽河流域,张家堡,2022-06-01 04:00:00,Ⅱ,19.85,8.19,-,7.254,-,2.823,-,0.025,-,0.05,4.68,713.81,26.075,,,正常
辽宁省,抚顺市,浑河,辽河流域,戈布桥,2022-06-01 04:00:00,Ⅱ,19.19,8.86,-,10.97,-,2.697,-,0.025,-,0.0253,2.242,348.29,4.16,,,正常
辽宁省,朝阳市,老虎山河,辽河流域,李家湾大桥,2022-06-01 04:00:00,Ⅱ,14.36,7.64,-,7.9532,-,0.8702,-,0.0338,-,0.0364,2.9215,535.052,6.8656,,,正常
辽宁省,铁岭市,寇河,辽河流域,松树水文站,2022-06-01 04:00:00,Ⅲ,19.89,8.038,-,8.5,-,4.151,-,0.265,-,0.103,3.27,398.4,20.73,,,正常
辽宁省,铁岭市,柴河,辽河流域,柴河水库入库口,2022-06-01 04:00:00,Ⅲ,20.87,8.26,-,10.628,-,4.92,-,0.025,-,0.081,2.015,368.6,28,,,正常
辽宁省,辽阳市,北沙河,辽河流域,河洪桥,2022-06-01 04:00:00,Ⅲ,20.08,7.48164,-,6.577,-,4.383,-,0.668,-,0.1813,3.933,561.2,28.4665,,,正常
辽宁省,铁岭市,清河,辽河流域,清河水库入库口,2022-06-01 04:00:00,Ⅳ,16.08,7.349,-,4.86,-,2.73,-,0.025,-,0.118,1.894,339.77,18.07,,,正常
辽宁省,铁岭市,清河,辽河流域,清辽,2022-06-01 04:00:00,Ⅱ,14.7893,8.0645,-,10.4661,-,3.24,-,0.025,-,0.05,2.566,312.513,14.4897,,,正常
辽宁省,丹东市,爱河,辽河流域,爱河大桥,2022-06-01 04:00:00,-3,18.73,7.466,-,7.545,-,1.708,-,,-,0.005,7.79,227.6,6.15,,,维护
辽宁省,鞍山市,海城河,辽河流域,牛庄,2022-06-01 04:00:00,Ⅲ,20.56,7.92749,-,5.662,-,5.928,-,0.5149,-,0.1563,3.726,792.505,34.8841,,,正常
辽宁省,朝阳市,牤牛河,辽河流域,牤牛河大桥,2022-06-01 04:00:00,Ⅱ,14.44,7.999,-,9.165,-,1.41,-,0.025,-,0.0468,8.171,663.648,54.447,,,正常
辽宁省,锦州市,大凌河,辽河流域,王家沟,2022-06-01 04:00:00,Ⅱ,15.9,8.107,-,8.066,-,2.14,-,0.025,-,0.019,4.599,645.64,11.83,,,正常
辽宁省,葫芦岛市,大凌河,辽河流域,王家窝棚,2022-06-01 04:00:00,Ⅳ,16.659,7.3492,-,4.8897,-,2.8037,-,0.05,-,0.054,4.712,679.235,4.1614,,,正常
辽宁省,铁岭市,辽河,辽河流域,珠尔山,2022-06-01 04:00:00,Ⅲ,19.63,8.26,-,6.07,-,5.72,-,0.025,-,0.135,1.782,464.3,88.29,,,正常
辽宁省,大连市,登沙河,辽河流域,登化,2022-06-01 04:00:00,Ⅳ,22.8557,7.4007,-,7.80923,-,6.77,-,0.0883,-,0.1708,1.202,611.617,15.9186,,,正常
辽宁省,盘锦市,辽河,辽河流域,盘锦兴安(兴安),2022-06-01 04:00:00,Ⅲ,20.46,8.12,-,5.66,-,5.567,-,0.055,-,0.135,1.856,358.7,84.78,,,正常
辽宁省,沈阳市,浑河,辽河流域,砂山,2022-06-01 04:00:00,Ⅱ,22.01,8.081,-,10.856,-,3.494,-,0.025,-,0.043,3.598,428.251,5.845,,,正常
辽宁省,朝阳市,大凌河,辽河流域,章吉营,2022-06-01 04:00:00,Ⅲ,19.1812,7.6304,-,5.399,-,3.8576,-,0.203,-,0.1648,7.08,834.163,54.7751,,,正常
辽宁省,葫芦岛市,兴城河,辽河流域,红石碑入海前,2022-06-01 04:00:00,Ⅳ,23.09,8.949,-,11.013,-,6.07,-,0.084,-,0.09,2.764,750.278,24.7,,,正常
辽宁省,盘锦市,绕阳河,辽河流域,胜利塘,2022-06-01 04:00:00,Ⅳ,22.43,7.926,-,7.115,-,7.638,-,0.066,-,0.11,1.937,1260.35,32.22,,,正常
辽宁省,大连市,英那河,辽河流域,英那河入海口,2022-06-01 04:00:00,Ⅱ,21.65,7.65866,-,8.03305,-,3.47961,-,0.03546,-,0.05847,0.78838,258.653,21.48466,,,正常
辽宁省,营口市,碧流河,辽河流域,茧场,2022-06-01 04:00:00,Ⅱ,21.57,7.65829,-,7.9572,-,2.12709,-,0.07962,-,0.02963,3.77624,283.1611,44.60613,,,正常
辽宁省,辽阳市,太子河,辽河流域,葠窝坝下,2022-06-01 04:00:00,Ⅱ,21.9368,7.9563,-,10.6891,-,2.02,-,0.0871,-,0.029,3.4577,350.949,8.2727,,,正常
辽宁省,丹东市,蒲石河,辽河流域,蒲石河大桥,2022-06-01 04:00:00,-3,18.745,7.778,-,8.62,-,1.025,-,,-,,2.099,262.03,3.098,,,维护
辽宁省,营口市,大辽河,辽河流域,辽河公园,2022-06-01 04:00:00,-3,21.76,7.2,-,6.029,-,,-,,-,,,13150.32,496.57,,,维护
辽宁省,铁岭市,招苏台河,辽河流域,通江口,2022-06-01 04:00:00,Ⅳ,19.71,7.875,-,6.61,-,6.928,-,0.21,-,0.197,4.699,793.56,43.32,,,正常
辽宁省,沈阳市,辽河,辽河流域,马虎山,2022-06-01 04:00:00,Ⅳ,20.28,8.456,-,8.45,-,6.35,-,0.026,-,0.09141,1.736,384.5,48.3,,,正常
辽宁省,锦州市,西细河,辽河流域,高台子,2022-06-01 04:00:00,Ⅳ,13.32,7.384,-,3.578,-,3.321,-,0.025,-,0.1079,6.555,1110.56,17.857,,,正常
辽宁省,大连市,大沙河,辽河流域,麦家,2022-06-01 04:00:00,Ⅳ,20.8153,7.60164,-,4.69695,-,4.262,-,0.1424,-,0.0809,1.255,373.072,16.4654,,,正常
辽宁省,盘锦市,小柳河,辽河流域,丁家柳河桥,2022-06-01 08:00:00,Ⅴ,21.86,7.732,-,2.756,-,4.88,-,0.383,-,0.164,1.171,404.637,40.097,,,正常
辽宁省,大连市,英那河,辽河流域,万泰,2022-06-01 08:00:00,Ⅰ,20.35,8.08468,-,9.39022,-,1.20948,-,0.03701,-,0.00745,1.98394,119.555,1.73701,,,正常
辽宁省,大连市,复州河,辽河流域,三台子,2022-06-01 08:00:00,Ⅱ,23.2836,8.61818,-,6.70674,-,3.48166,-,0.09145,-,0.07658,4.04096,495.5812,15.03304,,,正常
辽宁省,铁岭市,辽河,辽河流域,三合屯,2022-06-01 08:00:00,Ⅲ,20.3185,8.1384,-,7.8936,-,5.4737,-,0.029,-,0.065,2.553,669.082,45.6158,,,正常
辽宁省,辽阳市,太子河,辽河流域,下王家,2022-06-01 08:00:00,Ⅱ,19.1564,7.61527,-,7.315,-,1.531,-,0.4761,-,0.0259,3.876,437.341,8.16841,,,正常
辽宁省,辽阳市,下达河,辽河流域,下达河入汤河水库口,2022-06-01 08:00:00,Ⅰ,18.72,8.2475,-,11.139,-,1.9,-,0.025,-,0.0161,3.221,434.793,8.489,,,正常
辽宁省,铁岭市,柴河,辽河流域,东大桥,2022-06-01 08:00:00,Ⅱ,16.87,8.503,-,12.88,-,3.83,-,0.039,-,0.012,2.729,325.19,32.7,,,正常
辽宁省,沈阳市,浑河,辽河流域,东陵大桥,2022-06-01 08:00:00,Ⅱ,20.1254,7.9085,-,8.598,-,2.7285,-,0.065,-,0.0778,2.684,458.063,5.9964,,,正常
辽宁省,沈阳市,细河,辽河流域,于台,2022-06-01 08:00:00,Ⅲ,18.43,8.076,-,6.454,-,3.716,-,0.148,-,0.12,7.425,682.778,1.533,,,正常
辽宁省,沈阳市,浑河,辽河流域,于家房,2022-06-01 08:00:00,Ⅳ,14.059,7.769,-,11.74,-,7.39,-,0.234,-,0.144,2.439,777.3,38.9,,,正常
辽宁省,铁岭市,亮子河,辽河流域,亮子河入河口,2022-06-01 08:00:00,劣Ⅴ,20.69,7.689,-,2.25,-,10.715,-,0.8611,-,0.544,4.623,596.565,120.48,,,正常
辽宁省,锦州市,小凌河,辽河流域,何家信子,2022-06-01 08:00:00,Ⅱ,18.06,8.172,-,10.76,-,3.31,-,0.025,-,0.0194,2.133,504.6,3.99,,,正常
辽宁省,沈阳市,蒲河,辽河流域,兴国桥,2022-06-01 08:00:00,Ⅱ,17.4,7.561,-,10.553,-,2.08,-,0.076,-,0.0334,1.039,674.145,1.816,,,正常
辽宁省,本溪市,太子河,辽河流域,兴安,2022-06-01 08:00:00,Ⅱ,15.17,7.848,-,9.717,-,2.2366,-,0.025,-,0.0357,2.6052,294.6,12.1,,,正常
辽宁省,本溪市,浑江,辽河流域,凤鸣电站,2022-06-01 08:00:00,Ⅱ,12.14,7.3073,-,9.202,-,2.604,-,0.025,-,0.0116,2.55,247.33,3.296,,,正常
辽宁省,鞍山市,太子河,辽河流域,刘家台,2022-06-01 08:00:00,Ⅱ,20.39,7.84,-,8.253,-,2.369,-,0.2113,-,0.077,4.268,485.283,20.284,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2022-06-01 08:00:00,Ⅱ,17.81,8.7,-,9.96,-,1.474,-,0.025,-,0.0246,2.36,204.28,3.29,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2022-06-01 08:00:00,Ⅱ,19.32,7.78,-,7.6,-,2.242,-,0.0326,-,0.0261,1.661,252.14,8.95,,,正常
辽宁省,本溪市,太子河南支,辽河流域,南太子河入库口,2022-06-01 08:00:00,Ⅰ,18.47,7.8,-,8.9,-,0.694,-,0.025,-,0.0051,2.866,142.4,3.34,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2022-06-01 08:00:00,Ⅱ,18.4338,7.9068,-,9.7209,-,2.799,-,0.0368,-,0.0149,2.372,240.7143,5.665,,,正常
辽宁省,大连市,碧流河,辽河流域,城子坦,2022-06-01 08:00:00,Ⅱ,21.87467,8.18499,-,7.55072,-,1.70668,-,0.02983,-,0.02834,0.79028,291.2132,7.30131,,,正常
辽宁省,大连市,复州河,辽河流域,复州湾大桥,2022-06-01 08:00:00,Ⅱ,21.6267,8.39584,-,9.13714,-,3.599,-,0.0541,-,0.0629,5.809,480.569,9.3201,,,正常
辽宁省,抚顺市,浑河,辽河流域,大伙房水库,2022-06-01 08:00:00,Ⅰ,16.665,7.942,-,8.855,-,1.753,-,0.025,-,0.0131,2.627,240.786,4.322,0.01043,,正常
辽宁省,朝阳市,大凌河西支,辽河流域,大凌河西支入河口,2022-06-01 08:00:00,Ⅲ,16,8.104,-,11.04,-,3.08,-,0.025,-,0.128,15.414,1002.68,6.159,,,正常
辽宁省,营口市,大清河,辽河流域,大清河口,2022-06-01 08:00:00,Ⅱ,22.28,8.37,-,11.087,-,3.872,-,0.051,-,0.0746,4.136,411.63,17.098,,,正常
辽宁省,锦州市,女儿河,辽河流域,女儿河入河口,2022-06-01 08:00:00,Ⅲ,21.77,8.142,-,14.76,-,4.68,-,0.025,-,0.0503,6.859,770.33,18.18,,,正常
